tunecache	0.9.1	v0.9.0-717-g64c90a27-dirty-debug-sm_61	cpu_arch=x86_64,gpu_arch=sm_61,cuda_version=9020	# Last updated Mon Nov 12 09:57:28 2018

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
     16x16x16x32	N4quda11CopyGaugeExIddLi18ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EEES4_EE	out_stride=65536,in_stride=69632,geometry=4	64	1	1	1024	1	1	16385	1	1	1	1	0.00029184	# 0.00 Gflop/s, 344.93 GB/s, tuning took 0.133998 seconds at Mon Nov 12 09:27:25 2018
     16x16x16x32	N4quda12ExtractGhostIdLi18ELi4ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EEEEE	stride=69632	64	1	1	128	1	8	0	1	1	1	1	2.2528e-05	# 0.00 Gflop/s, 244.36 GB/s, tuning took 0.034369 seconds at Mon Nov 12 09:27:25 2018
     16x16x16x32	N4quda15CopyColorSpinorIddLi4ELi3ENS_18CopyColorSpinorArgINS_11colorspinor11FloatNOrderIdLi4ELi3ELi2ELb0EEENS2_21SpaceSpinorColorOrderIdLi4ELi3EEEEEEE	out_stride=65536,in_stride=65536,NonRelBasis	32	1	1	2048	2	1	0	1	1	1	1	0.000147456	# 0.00 Gflop/s, 341.33 GB/s, tuning took 0.014995 seconds at Mon Nov 12 09:27:26 2018
     16x16x16x32	N4quda15CopyColorSpinorIddLi4ELi3ENS_18CopyColorSpinorArgINS_11colorspinor21SpaceSpinorColorOrderIdLi4ELi3EEENS2_11FloatNOrderIdLi4ELi3ELi2ELb0EEEEEEE	out_stride=65536,in_stride=65536,RelBasis	32	1	1	2048	2	1	0	7	0	0	0	0.000147456	# 0.00 Gflop/s, 341.33 GB/s, tuning took 0.015262 seconds at Mon Nov 12 09:27:39 2018
     16x16x16x32	N4quda4blas5Norm2Id7double2S2_EE	vol=131072,stride=65536,precision=8,Ns=4,Nc=3	160	1	1	56	2	1	0	1	1	1	1	8.66987e-05	# 72.57 Gflop/s, 290.27 GB/s, tuning took 1.026614 seconds at Mon Nov 12 09:27:27 2018
     16x16x16x32	N4quda9CopyGaugeIddLi18ENS_12CopyGaugeArgINS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EEENS2_8QDPOrderIdLi18EEEEEEE	CPU,out:vol=131072,stride=69632,precision=8,geometry=4,Nc=3,in:vol=131072,stride=65536,precision=8,geometry=4,Nc=3	32	1	1	2048	1	8	24577	1	1	1	1	0.000354304	# 0.00 Gflop/s, 355.14 GB/s, tuning took 0.374036 seconds at Mon Nov 12 09:27:25 2018
     16x16x16x32	N4quda9CopyGaugeIddLi18ENS_12CopyGaugeArgINS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EEES5_EEEE	GPU-offline,out:vol=131072,stride=69632,precision=8,geometry=4,Nc=3,in:vol=131072,stride=69632,precision=8,geometry=4,Nc=3,ghost	160	1	1	26	1	8	5462	1	1	1	1	1.6384e-05	# 0.00 Gflop/s, 336.00 GB/s, tuning took 0.028210 seconds at Mon Nov 12 09:27:25 2018
     16x16x16x32	N4quda9CopyGaugeIdfLi18ENS_12CopyGaugeArgINS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EEENS3_IfLi18ELi4ELi12ELS4_0ELb1EEEEEEE	GPU-offline,out:vol=131072,stride=69632,precision=8,geometry=4,Nc=3,in:vol=131072,stride=69632,precision=4,geometry=4,Nc=3	32	1	1	2048	1	8	12289	1	1	1	1	0.000218112	# 0.00 Gflop/s, 346.14 GB/s, tuning took 0.235325 seconds at Mon Nov 12 09:56:58 2018
     16x16x16x32	N4quda9CopyGaugeIdfLi18ENS_12CopyGaugeArgINS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EEENS3_IfLi18ELi4ELi12ELS4_0ELb1EEEEEEE	GPU-offline,out:vol=131072,stride=69632,precision=8,geometry=4,Nc=3,in:vol=131072,stride=69632,precision=4,geometry=4,Nc=3,ghost	64	1	1	64	1	8	1639	1	1	1	1	1.1264e-05	# 0.00 Gflop/s, 366.55 GB/s, tuning took 0.022979 seconds at Mon Nov 12 09:56:58 2018
     16x16x16x32	N4quda9CopyGaugeIfdLi18ENS_12CopyGaugeArgINS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EEENS3_IdLi18ELi2ELi12ELS4_0ELb1EEEEEEE	GPU-offline,out:vol=131072,stride=69632,precision=4,geometry=4,Nc=3,in:vol=131072,stride=69632,precision=8,geometry=4,Nc=3	32	1	1	2048	1	8	4097	1	1	1	1	0.00021504	# 0.00 Gflop/s, 351.09 GB/s, tuning took 0.230951 seconds at Mon Nov 12 09:56:58 2018
     16x16x16x32	N4quda9CopyGaugeIfdLi18ENS_12CopyGaugeArgINS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EEENS3_IdLi18ELi2ELi12ELS4_0ELb1EEEEEEE	GPU-offline,out:vol=131072,stride=69632,precision=4,geometry=4,Nc=3,in:vol=131072,stride=69632,precision=8,geometry=4,Nc=3,ghost	32	1	1	128	1	8	1586	1	1	1	1	1.4336e-05	# 0.00 Gflop/s, 288.00 GB/s, tuning took 0.025739 seconds at Mon Nov 12 09:56:58 2018
     16x16x16x32	N4quda9CopyGaugeIfsLi18ENS_12CopyGaugeArgINS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EEENS3_IsLi18ELi4ELi12ELS4_0ELb1EEEEEEE	GPU-offline,out:vol=131072,stride=69632,precision=4,geometry=4,Nc=3,in:vol=131072,stride=69632,precision=2,geometry=4,Nc=3	160	1	1	410	1	8	9831	1	1	1	1	0.000126976	# 0.00 Gflop/s, 297.29 GB/s, tuning took 0.145816 seconds at Mon Nov 12 09:27:26 2018
     16x16x16x32	N4quda9CopyGaugeIfsLi18ENS_12CopyGaugeArgINS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EEENS3_IsLi18ELi4ELi12ELS4_0ELb1EEEEEEE	GPU-offline,out:vol=131072,stride=69632,precision=4,geometry=4,Nc=3,in:vol=131072,stride=69632,precision=2,geometry=4,Nc=3,ghost	32	1	1	128	1	8	1586	1	1	1	1	1.1264e-05	# 0.00 Gflop/s, 183.27 GB/s, tuning took 0.023939 seconds at Mon Nov 12 09:27:26 2018
     16x16x16x32	N4quda9CopyGaugeIsdLi18ENS_12CopyGaugeArgINS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EEENS3_IdLi18ELi2ELi12ELS4_0ELb1EEEEEEE	GPU-offline,out:vol=131072,stride=69632,precision=2,geometry=4,Nc=3,in:vol=131072,stride=69632,precision=8,geometry=4,Nc=3	32	1	1	2048	1	8	7022	1	1	1	1	0.000180224	# 0.00 Gflop/s, 349.09 GB/s, tuning took 0.195523 seconds at Mon Nov 12 09:27:25 2018
     16x16x16x32	N4quda9CopyGaugeIsdLi18ENS_12CopyGaugeArgINS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EEENS3_IdLi18ELi2ELi12ELS4_0ELb1EEEEEEE	GPU-offline,out:vol=131072,stride=69632,precision=2,geometry=4,Nc=3,in:vol=131072,stride=69632,precision=8,geometry=4,Nc=3,ghost	32	1	1	128	1	8	0	1	1	1	1	1.2288e-05	# 0.00 Gflop/s, 280.00 GB/s, tuning took 0.024189 seconds at Mon Nov 12 09:27:25 2018
     16x16x16x32	N4quda9CopyGaugeIsfLi18ENS_12CopyGaugeArgINS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EEENS3_IfLi18ELi4ELi12ELS4_0ELb1EEEEEEE	GPU-offline,out:vol=131072,stride=69632,precision=2,geometry=4,Nc=3,in:vol=131072,stride=69632,precision=4,geometry=4,Nc=3	32	1	1	2048	1	8	9831	1	1	1	1	0.000108544	# 0.00 Gflop/s, 347.77 GB/s, tuning took 0.121594 seconds at Mon Nov 12 09:56:58 2018
     16x16x16x32	N4quda9CopyGaugeIsfLi18ENS_12CopyGaugeArgINS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EEENS3_IfLi18ELi4ELi12ELS4_0ELb1EEEEEEE	GPU-offline,out:vol=131072,stride=69632,precision=2,geometry=4,Nc=3,in:vol=131072,stride=69632,precision=4,geometry=4,Nc=3,ghost	32	1	2	128	1	4	8193	1	1	1	1	6.144e-06	# 0.00 Gflop/s, 336.00 GB/s, tuning took 0.017630 seconds at Mon Nov 12 09:56:58 2018
     16x16x16x32	N4quda9GaugePlaqIdNS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EEEEE	GPU-offline,	32	2	1	2048	1	1	24577	1	1	1	1	0.00158618	# 295.99 Gflop/s, 190.39 GB/s, tuning took 0.220163 seconds at Mon Nov 12 09:27:25 2018
      8x16x16x32	11N4quda4blas11multicaxpy_ILi1E7double2S2_EE	vol=65536,stride=65536,precision=2,Ns=4,Nc=3,vol=65536,stride=65536,precision=8,Ns=4,Nc=3	256	1	1	24	1	1	0	8	0	0	0	8.56747e-05	# 73.43 Gflop/s, 333.51 GB/s, tuning took 0.916924 seconds at Mon Nov 12 09:27:32 2018
